rank,Cancer.cell.1,Cancer.cell.2,Cancer.cell.3,Cancer.cell.4,Cancer.cell.5,Cancer.cell.6,Cycling.cancer.cell.1,Cycling.cancer.cell.2,Ciliated.cell.1,Ciliated.cell.2,OV.065.specific.1,OV.075.specific,OV.081.specific,,,,,,,,,,,,
37,,RAB11FIP1,ISG20,IGFBP4,AC004540.2,CEBPB,TROAP,TPX2,PSENEN,SPAG8,NSA2,ACTR3,GLRX,,,,,,,,,,,,
38,,MUC16,LAP3,IGFBP6,NKAIN4,RNASET2,HMGB3,CENPW,CCDC170,WDR38,WDR70,EEF1D,HRASLS,,,,,,,,,,,,
39,,CLDN4,OAS3,MMP2,ENKUR,GAPDH,H2AFV,RANBP1,ERICH3,WDR49,HMGB1,TPM3,AARD,,,,,,,,,,,,
40,,EZR,HLA-C,KRT7,PPIL6,SEC61G,RAD21,TMPO,TEKT2,C11orf88,VIM,TAGLN2,SCGB2A2,,,,,,,,,,,,
41,,SCEL,PLSCR1,TPM1,SPEF2,MALAT1,DLGAP5,MAD2L1,C9orf135,RSPH4A,TBCA,PPA1,SLC22A31,,,,,,,,,,,,
42,,CTSD,IFI16,SYT8,PREX2,BNIP3L,NCAPD2,FANCI,SPA17,C7orf57,HSP90B1,PDCL2,PROM1,,,,,,,,,,,,
43,,ITGB8,NFKBIA,BGN,MNS1,CA9,AURKA,CENPX,MNS1,C6orf118,CBX3,COX4I1,C16orf74,,,,,,,,,,,,
44,,HEBP2,BIRC3,SPON2,FAM183A,WSB1,CENPA,TMEM106C,ARMC3,DNAH12,CST3,UQCRH,TNFRSF18,,,,,,,,,,,,
45,,SVIL,CXCL2,FTH1,GRIA2,C4orf3,TUBB4B,DHFR,PERP,DYNLRB2,MT-ND4L,MUC12,MESP2,,,,,,,,,,,,
46,,C15orf48,BST2,COL5A1,SLITRK6,SNHG7,CENPW,PRKDC,CIB1,ERICH3,EIF2S2,LINC02432,TNC,,,,,,,,,,,,
47,,FTH1,IFI44,HTRA1,CFAP54,GPI,SKA2,HMGN2,LRRC23,WDR63,SFRP1,GPR19,PGR,,,,,,,,,,,,
48,,S100A16,UBE2L6,CAV1,SPAG17,AKAP12,KIF23,ORC6,CFAP45,MORN5,ANO1,RASGRP2,PTGER2,,,,,,,,,,,,
49,,UPK1B,OAS2,ANXA2,CD177,IGF2-1,TUBA1C,DTYMK,CKB,MAP3K19,TMA7,LMOD1,GLYATL2,,,,,,,,,,,,
50,,FXYD3,HERC5,SERPINF1,FAM81B,ANKRD37,MAD2L1,ASPM,MORN5,TTLL9,ATP5ME,HPD,PTGFR,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
